country,region,year,gender,population,CVD,bloodpressure
Romania,Europe,2010,Female,10516000,1345.5,126.2
Russian Federation,Europe,2000,Male,68509000,15457,131
Russian Federation,Europe,2010,Male,66389000,13791.9,130.5
Russian Federation,Europe,2000,Female,77887000,13014.9,127.5
Russian Federation,Europe,2010,Female,76765000,11396.8,124.3
Rwanda,Africa,2000,Male,3915000,193.8,126.9
Rwanda,Africa,2010,Male,5017000,118.9,127.7
Rwanda,Africa,2000,Female,4111000,228.8,124.6
Rwanda,Africa,2010,Female,5230000,121.1,126.1
Saint Lucia,Americas,2000,Male,77000,4.1,128.9
Saint Lucia,Americas,2010,Male,85000,4.9,130.6
Saint Lucia,Americas,2000,Female,80000,4.2,123.1
Saint Lucia,Americas,2010,Female,88000,4.2,124.6
Saint Vincent and the Grenadines,Americas,2000,Male,54000,2.5,127.3
Saint Vincent and the Grenadines,Americas,2010,Male,55000,3.2,128.3
Saint Vincent and the Grenadines,Americas,2000,Female,54000,2.6,123
Saint Vincent and the Grenadines,Americas,2010,Female,54000,3.2,122.9
Samoa,Oceania,2000,Male,91000,5.8,128.3
Samoa,Oceania,2010,Male,96000,5.1,130.2
Samoa,Oceania,2000,Female,84000,3.3,121.7
Samoa,Oceania,2010,Female,90000,2.9,123.8
Sao Tome and Principe,Africa,2000,Male,69000,2.2,134.3
Sao Tome and Principe,Africa,2010,Male,87000,2.3,134.5
Sao Tome and Principe,Africa,2000,Female,70000,2.8,132
Sao Tome and Principe,Africa,2010,Female,88000,3,132.1
Saudi Arabia,Asia,2000,Male,11309000,396.2,126.1
Saudi Arabia,Asia,2010,Male,15401000,562.6,126.3
Saudi Arabia,Asia,2000,Female,9455000,284,125.4
Saudi Arabia,Asia,2010,Female,12025000,359.8,121.7
Senegal,Africa,2000,Male,4864000,191.9,131.4
Senegal,Africa,2010,Male,6324000,203.4,131
Senegal,Africa,2000,Female,5020000,204.6,129.2
Senegal,Africa,2010,Female,6592000,225.6,129.1
Serbia,Europe,2000,Male,4656000,714.7,133.5
Serbia,Europe,2010,Male,4416000,589.1,135.2
Serbia,Europe,2000,Female,4832000,659.5,128.6
Serbia,Europe,2010,Female,4614000,562.9,127
Seychelles,Africa,2000,Male,40000,2.9,132.6
Seychelles,Africa,2010,Male,47000,3.7,133.3
Seychelles,Africa,2000,Female,41000,2.1,125.7
Seychelles,Africa,2010,Female,44000,2.2,125.6
Sierra Leone,Africa,2000,Male,2253000,187.7,131.7
Sierra Leone,Africa,2010,Male,3190000,193.1,131.6
Sierra Leone,Africa,2000,Female,2311000,168.7,131
Sierra Leone,Africa,2010,Female,3269000,204.5,130.8
Singapore,Asia,2000,Male,1955000,90.5,126.1
Singapore,Asia,2010,Male,2504000,107.2,123.9
Singapore,Asia,2000,Female,1959000,67.5,121
Singapore,Asia,2010,Female,2570000,66.3,117.7
Slovakia,Europe,2000,Male,2622000,315.4,132.2
Slovakia,Europe,2010,Male,2621000,289.8,132.4
Slovakia,Europe,2000,Female,2778000,262.5,124.2
Slovakia,Europe,2010,Female,2783000,252.3,121.6
Slovenia,Europe,2000,Male,971000,81.8,135.2
Slovenia,Europe,2010,Male,1012000,67.8,136.7
Slovenia,Europe,2000,Female,1018000,69.3,128.1
Slovenia,Europe,2010,Female,1034000,62.7,127.2
Solomon Islands,Oceania,2000,Male,212000,11.7,122.7
Solomon Islands,Oceania,2010,Male,268000,12.3,123.2
Solomon Islands,Oceania,2000,Female,201000,9.9,121.1
Solomon Islands,Oceania,2010,Female,260000,9.6,123.6
Somalia,Africa,2000,Male,4516000,203.6,130.7
Somalia,Africa,2010,Male,6017000,224.3,131.9
Somalia,Africa,2000,Female,4495000,173.7,127.3
Somalia,Africa,2010,Female,6036000,204,128.9
South Africa,Africa,2000,Male,22440000,995.3,129.8
South Africa,Africa,2010,Male,25329000,1211.2,128
South Africa,Africa,2000,Female,23288000,900.9,126.8
South Africa,Africa,2010,Female,26255000,1077.6,124.5
Spain,Europe,2000,Male,20077000,1193.1,129.1
Spain,Europe,2010,Male,23133000,1077.6,128.4
Spain,Europe,2000,Female,20826000,1010.8,120.6
Spain,Europe,2010,Female,23656000,902.3,118.2
Sri Lanka,Asia,2000,Male,9368000,614.9,125.6
Sri Lanka,Asia,2010,Male,9829000,627,127.1
Sri Lanka,Asia,2000,Female,9414000,379.3,121.2
Sri Lanka,Asia,2010,Female,10369000,389.4,122.9
Suriname,Americas,2000,Male,238000,17.8,127.2
Suriname,Americas,2010,Male,265000,18.1,127.5
Suriname,Americas,2000,Female,234000,13.5,123.8
Suriname,Americas,2010,Female,262000,12.5,123.1
Sweden,Europe,2000,Male,4392000,380.9,132.6
Sweden,Europe,2010,Male,4677000,302.9,129.3
Sweden,Europe,2000,Female,4489000,314.6,123.7
Sweden,Europe,2010,Female,4713000,253.8,120.1
Switzerland,Europe,2000,Male,3502000,211.3,129
Switzerland,Europe,2010,Male,3856000,184.1,126.8
Switzerland,Europe,2000,Female,3666000,184.8,120.4
Switzerland,Europe,2010,Female,3976000,157.9,116.9
Syrian Arab Republic,Asia,2000,Male,8302000,428.3,128.8
Syrian Arab Republic,Asia,2010,Male,10609000,560.4,129
Syrian Arab Republic,Asia,2000,Female,8109000,291.7,128.1
Syrian Arab Republic,Asia,2010,Female,10410000,411.4,126.1
Tajikistan,Asia,2000,Male,3114000,149.4,128.1
Tajikistan,Asia,2010,Male,3851000,192.3,129.6
Tajikistan,Asia,2000,Female,3103000,138.6,125.2
Tajikistan,Asia,2010,Female,3790000,157.8,126.5
Thailand,Asia,2000,Male,31096000,1434,122.7
Thailand,Asia,2010,Male,32938000,1672.1,124.3
Thailand,Asia,2000,Female,31862000,1014.7,118.7
Thailand,Asia,2010,Female,34271000,1158.3,120.2
Timor-Leste,Asia,2000,Male,442000,19.8,125.9
Timor-Leste,Asia,2010,Male,563000,19.5,127
Timor-Leste,Asia,2000,Female,430000,17.7,122.7
Timor-Leste,Asia,2010,Female,546000,17.8,124.2
Togo,Africa,2000,Male,2465000,115.2,130.2
Togo,Africa,2010,Male,3237000,143.6,129.5
Togo,Africa,2000,Female,2505000,108.7,127.2
Togo,Africa,2010,Female,3266000,135.4,126.9
Tonga,Oceania,2000,Male,50000,2.2,128.8
Tonga,Oceania,2010,Male,52000,2.3,131.1
Tonga,Oceania,2000,Female,48000,1.6,123
Tonga,Oceania,2010,Female,52000,1.5,126.4
Trinidad and Tobago,Americas,2000,Male,631000,49.5,126.2
Trinidad and Tobago,Americas,2010,Male,657000,49.3,128.3
Trinidad and Tobago,Americas,2000,Female,637000,39.1,119.3
Trinidad and Tobago,Americas,2010,Female,671000,35.9,121.7
Tunisia,Africa,2000,Male,4866000,328.9,126.1
Tunisia,Africa,2010,Male,5276000,372.7,126.4
Tunisia,Africa,2000,Female,4833000,221.5,126.8
Tunisia,Africa,2010,Female,5364000,269.6,123.7
Turkey,Asia,2000,Male,31144000,1934.4,123.4
Turkey,Asia,2010,Male,35564000,2037,121.1
Turkey,Asia,2000,Female,32096000,1301.2,126.2
Turkey,Asia,2010,Female,36763000,1438.9,121
Turkmenistan,Asia,2000,Male,2223000,206.6,128.1
Turkmenistan,Asia,2010,Male,2503000,230.7,129
Turkmenistan,Asia,2000,Female,2293000,162,126.3
Turkmenistan,Asia,2010,Female,2585000,175.3,127
Uganda,Africa,2000,Male,11884000,382,127.8
Uganda,Africa,2010,Male,16841000,419.7,128.5
Uganda,Africa,2000,Female,12155000,300.1,123.4
Uganda,Africa,2010,Female,17075000,384.3,125.3
Ukraine,Europe,2000,Male,22734000,4855.8,133
Ukraine,Europe,2010,Male,21137000,4612.8,134.1
Ukraine,Europe,2000,Female,26106000,4721.4,128.9
Ukraine,Europe,2010,Female,24656000,4534.3,128
United Arab Emirates,Asia,2000,Male,2129000,64,127.6
United Arab Emirates,Asia,2010,Male,6161000,144.9,126.9
United Arab Emirates,Asia,2000,Female,1026000,18.8,122.7
United Arab Emirates,Asia,2010,Female,2109000,27.6,120.1
United Kingdom of Great Britain and Northern Ireland,Europe,2000,Male,28722000,2419.3,132.4
United Kingdom of Great Britain and Northern Ireland,Europe,2010,Male,31100000,1801.9,128.2
United Kingdom of Great Britain and Northern Ireland,Europe,2000,Female,30229000,1999.5,125.7
United Kingdom of Great Britain and Northern Ireland,Europe,2010,Female,32207000,1427.8,120.1
United States of America,Americas,2000,Male,138883000,9513,122
United States of America,Americas,2010,Male,152448000,8604,123
United States of America,Americas,2000,Female,143099000,8039.9,116
United States of America,Americas,2010,Female,156194000,6734.6,116.8
Uruguay,Americas,2000,Male,1607000,119,130.1
Uruguay,Americas,2010,Male,1627000,100.4,128.1
Uruguay,Americas,2000,Female,1714000,95.2,123.4
Uruguay,Americas,2010,Female,1747000,87.6,121.3
Uzbekistan,Asia,2000,Male,12357000,888.5,126.3
Uzbekistan,Asia,2010,Male,14228000,1163.2,129.2
Uzbekistan,Asia,2000,Female,12492000,803.3,122.2
Uzbekistan,Asia,2010,Female,14378000,932.1,124.9
Vanuatu,Oceania,2000,Male,95000,5.4,130.8
Vanuatu,Oceania,2010,Male,120000,6.1,131.8
Vanuatu,Oceania,2000,Female,90000,4,127.6
Vanuatu,Oceania,2010,Female,116000,4.6,129.8
Venezuela (Bolivarian Republic of),Americas,2000,Male,12294000,576.7,128.5
Venezuela (Bolivarian Republic of),Americas,2010,Male,14490000,684.6,125.9
Venezuela (Bolivarian Republic of),Americas,2000,Female,12194000,380,123.9
Venezuela (Bolivarian Republic of),Americas,2010,Female,14538000,435.3,120.2
Viet Nam,Asia,2000,Male,39551000,1826,124.2
Viet Nam,Asia,2010,Male,43683000,2191.8,126.3
Viet Nam,Asia,2000,Female,40734000,1063.2,119.1
Viet Nam,Asia,2010,Female,44789000,1283.7,120.3
Yemen,Asia,2000,Male,9041000,693.5,126.7
Yemen,Asia,2010,Male,11928000,825.6,128.4
Yemen,Asia,2000,Female,8834000,649.4,126.5
Yemen,Asia,2010,Female,11678000,785.6,126.6
Zambia,Africa,2000,Male,5208000,180.5,129.9
Zambia,Africa,2010,Male,6864000,175.8,131.5
Zambia,Africa,2000,Female,5323000,186.6,127.1
Zambia,Africa,2010,Female,6986000,189,129.2
Zimbabwe,Africa,2000,Male,6007000,208.2,127.7
Zimbabwe,Africa,2010,Male,6859000,213.1,127.7
Zimbabwe,Africa,2000,Female,6215000,236.8,129
Zimbabwe,Africa,2010,Female,7227000,278,129
