country,region,year,gender,population,CVD,bloodpressure
Bahrain,Asia,2000,Male,381000,12,127.3
Bahrain,Asia,2010,Male,774000,13.9,127
Bahrain,Asia,2000,Female,283000,7.7,123.9
Bahrain,Asia,2010,Female,467000,8.2,121.2
Bangladesh,Asia,2000,Male,67145000,1800.4,120.7
Bangladesh,Asia,2010,Male,76941000,3190,120.1
Bangladesh,Asia,2000,Female,64437000,2079.4,121.3
Bangladesh,Asia,2010,Female,75208000,3021.8,120.3
Barbados,Americas,2000,Male,130000,9.5,128.3
Barbados,Americas,2010,Male,134000,9.3,129.1
Barbados,Americas,2000,Female,140000,9.2,124.8
Barbados,Americas,2010,Female,145000,7.9,124.7
Belarus,Europe,2000,Male,4663000,980.1,134.8
Belarus,Europe,2010,Male,4403000,1015.5,134.6
Belarus,Europe,2000,Female,5271000,877.9,128.3
Belarus,Europe,2010,Female,5070000,817.7,126.4
Belgium,Europe,2000,Male,5035000,362.1,130.3
Belgium,Europe,2010,Male,5372000,296.5,129.9
Belgium,Europe,2000,Female,5247000,320.4,122.2
Belgium,Europe,2010,Female,5567000,265.9,121.3
Belize,Americas,2000,Male,125000,5.7,125.1
Belize,Americas,2010,Male,161000,6.5,125.4
Belize,Americas,2000,Female,123000,4.6,118.5
Belize,Americas,2010,Female,161000,4.6,118.4
Benin,Africa,2000,Male,3383000,135.8,130.6
Benin,Africa,2010,Male,4569000,172.2,129.2
Benin,Africa,2000,Female,3483000,137.7,127.9
Benin,Africa,2010,Female,4630000,177.4,126.8
Bhutan,Asia,2000,Male,293000,15.7,125.3
Bhutan,Asia,2010,Male,386000,19.3,127.2
Bhutan,Asia,2000,Female,281000,15.4,123.7
Bhutan,Asia,2010,Female,342000,17.3,125.5
Bolivia (Plurinational State of),Americas,2000,Male,4181000,254,123.4
Bolivia (Plurinational State of),Americas,2010,Male,4970000,246.8,123.9
Bolivia (Plurinational State of),Americas,2000,Female,4158000,223.9,120.9
Bolivia (Plurinational State of),Americas,2010,Female,4948000,205.3,120.2
Bosnia and Herzegovina,Europe,2000,Male,1850000,218.6,129.4
Bosnia and Herzegovina,Europe,2010,Male,1828000,215.3,131.6
Bosnia and Herzegovina,Europe,2000,Female,1917000,195.2,129.9
