Country,Both sexes,Male,Female
Gambia,3.6,2.8,4.3
Georgia,8.7,7.5,9.5
Germany,24.6,27.1,21.9
Ghana,3.1,2.4,3.8
Greece,12.8,12.7,12.8
Grenada,7.7,5.9,9.1
Guatemala,5.6,3.9,7
Guinea,3.3,2.5,4
Guinea-Bissau,2.9,2.3,3.5
Guyana,4.4,3.3,5.6
Haiti,4.3,3.1,5.2
Honduras,6.3,4.8,7.7
Hungary,17.9,16.5,18.5
Iceland,29.1,30.2,27.7
India,5.3,4.5,6
Indonesia,7.7,6.4,8.9
Iran (Islamic Republic of),15.3,12.2,18.2
Iraq,10.5,9.8,11
Ireland,21.7,22.9,20.4
Israel,14.5,13.3,15.5
Italy,20.1,19,20.8
Jamaica,5.9,4.7,7.1
Japan,15.8,15.7,15.8
Jordan,12.2,11.4,12.9
Kazakhstan,12.3,11,12.9
Kenya,5.3,4.7,5.7
Kiribati,7.6,6.2,8.9
Kuwait,16,15.5,16.5
Kyrgyzstan,6.3,5.3,7
Lao People's Democratic Republic,6.7,5.4,7.8
Latvia,18,16.6,18.6
Lebanon,11.5,9.4,13.3
Lesotho,4.4,3.6,5
Liberia,2.7,2.1,3.3
Libya,7.4,6.7,8.1
Lithuania,17,16.1,17.2
Luxembourg,25.6,26.5,24.3
Madagascar,4.6,4.1,5.1
Malawi,4.2,3.7,4.7
Malaysia,15.4,13.3,17.4
Maldives,10.6,8.2,13.1
Mali,3.5,2.8,3.9
Malta,19.2,19.2,18.9
Marshall Islands,12.4,9.9,14.7
Mauritania,3.9,3.4,4.3
Mauritius,12.9,12.5,13
Mexico,13.9,11.3,16.2
Micronesia (Federated States of),13.1,12.4,13.7
Monaco,#VALUE!,#VALUE!,#VALUE!
Mongolia,7.9,7.5,8.3
Montenegro,13.4,12.6,13.9
Morocco,8.5,7.2,9.6
Mozambique,4.8,4.5,5.1
Myanmar,6.4,5.1,7.5
Namibia,7.3,6.2,8.2
Nauru,12.2,9,15.2
Nepal,4.4,3.7,4.9
Netherlands,20.1,20.4,19.6
New Zealand,17,16.6,17.3
Nicaragua,6.3,4.9,7.5
Niger,2.5,2.1,3
Nigeria,2.9,2.1,3.6
Niue,#VALUE!,#VALUE!,#VALUE!
Norway,21.2,21.8,20.3
Oman,13.8,12.5,15.2
Pakistan,6.1,5.7,6.6
Palau,17,15.9,17.9
Panama,10.8,9,12.6
Papua New Guinea,8.7,7.6,9.7
Paraguay,9.1,7.8,10.3
Peru,8.6,7.7,9.4
Philippines,10.5,8.2,12.5
Poland,17.6,18.3,16.5
Portugal,16.7,16.7,16.5
Qatar,17.9,17.2,19.6
Republic of Korea,9.5,8.6,10.2
Republic of Moldova,8.6,7.5,9.3
Romania,12.1,11.4,12.6
Russian Federation,15.4,12.3,17.1
Rwanda,4.4,3.5,5.1
Saint Kitts and Nevis,10.6,8.8,12.1
Saint Lucia,8.9,7.2,10.4
Saint Vincent and the Grenadines,8.4,6.6,9.8
Samoa,7.8,6.1,9.4
San Marino,#VALUE!,#VALUE!,#VALUE!
Sao Tome and Principe,3.1,2.3,3.6
Saudi Arabia,8.7,7.3,10.3
Senegal,3.9,3.2,4.5
Serbia,13.5,11.9,14.9
Seychelles,17.8,17.5,17.5
Sierra Leone,2.7,2.1,3.3
Singapore,17.4,15.2,19.4
Slovakia,15.7,14.8,16.1
Slovenia,18.1,17.3,18.4
Solomon Islands,6.7,5.5,8
Somalia,4.7,4.1,5.3
South Africa,8,6,9.5
Spain,16.4,17.1,15.4
Sri Lanka,8.1,6.6,9.5
Sudan,7.1,6.7,7.5
Suriname,8.1,6.3,9.6
Sweden,14.8,16.3,13.2
Switzerland,18.8,18.7,18.5
Syrian Arab Republic,9.8,8.3,11.1
Tajikistan,4.6,3.8,5.3
Thailand,15.7,14.4,16.7
The former Yugoslav republic of Macedonia,11,10,11.8
Timor-Leste,5.3,4.2,6.3
Togo,2.9,2.3,3.5
Tonga,13.4,14.2,12.3
Trinidad and Tobago,9.6,7.9,11
Tunisia,10.1,8.1,11.9
Turkey,9,7.8,10
Turkmenistan,7.9,6.9,8.7
Tuvalu,#VALUE!,#VALUE!,#VALUE!
Uganda,4.2,3.3,4.9
Ukraine,11.9,10.4,12.7
United Arab Emirates,18.2,17.1,20.1
United Kingdom of Great Britain and Northern Ireland,21.7,21.6,21.3
United Republic of Tanzania,4.5,3.7,5.1
United States of America,14.2,13.1,14.9
Uruguay,10.2,9.7,10.3
Uzbekistan,5.4,4.1,6.5
Vanuatu,8.7,7.6,9.9
Venezuela (Bolivarian Republic of),9.4,6.7,11.9
Viet Nam,8.2,6.8,9.4
Yemen,6.9,5.9,7.7
Zambia,5.2,4.6,5.7
Zimbabwe,4.6,3.7,5.3
